Date,Open,High,Low,Close,Adj Close, Volume 
4/6/2017,142.11,142.22,140.91,141.17,141.17,"15,103,400"
4/7/2017,141.2,141.55,140.24,140.78,140.78,"11,818,300"
4/10/2017,141,141.43,140.63,141.04,141.04,"9,039,400"
4/11/2017,140.8,141.03,138.81,139.92,139.92,"16,638,100"
4/12/2017,139.72,140.4,139.44,139.58,139.58,"11,612,500"
4/13/2017,139.62,140.58,139.33,139.39,139.39,"10,965,600"
4/17/2017,139.76,141.55,139.75,141.42,141.42,"11,519,700"
4/18/2017,141.27,141.91,140.61,140.96,140.96,"14,807,500"
4/19/2017,141.35,143.04,141.27,142.27,142.27,"15,563,900"
4/20/2017,142.95,144.25,142.69,143.8,143.8,"15,968,200"
4/21/2017,143.9,144.17,142.27,143.68,143.68,"12,382,000"
4/24/2017,144.96,145.67,144.34,145.47,145.47,"14,407,200"
4/25/2017,145.79,147.15,145.79,146.49,146.49,"17,767,500"
4/26/2017,147.09,147.59,146.09,146.56,146.56,"12,395,000"
4/27/2017,146.67,147.75,146.14,147.7,147.7,"11,275,100"
4/28/2017,149.5,151.53,149.07,150.25,150.25,"30,652,200"
5/1/2017,151.74,152.57,151.42,152.46,152.46,"25,218,300"
5/2/2017,153.34,153.44,151.66,152.78,152.78,"21,870,400"
5/3/2017,153.6,153.6,151.34,151.8,151.8,"29,782,500"
5/4/2017,150.17,151.52,148.72,150.85,150.85,"36,225,500"
5/5/2017,151.45,151.63,149.79,150.24,150.24,"17,148,500"
5/8/2017,150.71,151.08,149.74,151.06,151.06,"15,827,500"
5/9/2017,151.49,152.59,150.21,150.48,150.48,"17,453,900"
5/10/2017,150.23,150.52,148.86,150.29,150.29,"12,080,700"
5/11/2017,150.31,150.65,149.41,150.04,150.04,"11,841,900"
5/12/2017,150.4,150.46,149.63,150.33,150.33,"9,598,200"
5/15/2017,150.17,151.48,149.77,150.19,150.19,"15,064,700"
5/16/2017,150.11,150.21,149.03,149.78,149.78,"14,550,800"
5/17/2017,148,148.67,144.42,144.85,144.85,"28,300,100"
5/18/2017,144.72,148.15,144.51,147.66,147.66,"23,031,600"
5/19/2017,148.45,149.39,147.96,148.06,148.06,"16,187,900"
5/22/2017,148.08,148.59,147.69,148.24,148.24,"12,586,700"
5/23/2017,148.52,148.81,147.25,148.07,148.07,"12,817,800"
5/24/2017,148.51,150.23,148.42,150.04,150.04,"17,862,400"
5/25/2017,150.3,152.59,149.95,151.96,151.96,"19,891,400"
5/26/2017,152.23,152.25,151.15,152.13,152.13,"14,996,200"
5/30/2017,151.97,152.9,151.64,152.38,152.38,"13,226,000"
5/31/2017,152.7,153.35,151.09,151.46,151.46,"18,023,900"
6/1/2017,151.75,152.29,150.3,151.53,151.53,"14,530,600"
6/2/2017,151.85,153.63,151.3,153.61,153.61,"16,854,400"
6/5/2017,153.64,154.71,153.41,153.63,153.63,"12,520,400"
6/6/2017,153.41,154.52,152.48,152.81,152.81,"13,457,100"
6/7/2017,153.27,153.75,152.34,153.12,153.12,"12,066,700"
6/8/2017,154.08,154.73,153.1,154.71,154.71,"17,799,400"
6/9/2017,154.77,155.59,146.61,149.6,149.6,"35,577,700"
6/12/2017,148.17,149.2,144.56,148.44,148.44,"33,170,200"
6/13/2017,150.15,151.18,148.9,150.68,150.68,"20,483,400"
6/14/2017,151.26,152.4,149.05,150.25,150.25,"20,808,800"
6/15/2017,147.67,150.04,146.37,149.8,149.8,"18,994,200"
6/16/2017,149.59,150.83,148.6,150.64,150.64,"22,882,400"
6/19/2017,151.71,153.57,151.71,152.87,152.87,"19,026,500"
6/20/2017,152.88,153.84,152.21,152.25,152.25,"14,743,900"
6/21/2017,152.36,154.08,151.88,153.91,153.91,"15,039,800"
6/22/2017,153.01,154.55,152.91,153.4,153.4,"13,005,500"
6/23/2017,152.72,155.2,152.65,155.07,155.07,"18,027,000"
6/26/2017,156.25,156.5,153.2,153.59,153.59,"18,049,700"
6/27/2017,152.84,153.31,150.39,150.58,150.58,"19,360,800"
6/28/2017,150.92,153.47,149.86,153.24,153.24,"16,719,100"
6/29/2017,152.28,152.5,148.92,151.04,151.04,"23,973,500"
6/30/2017,151.9,151.92,150.06,150.98,150.98,"17,666,000"
7/3/2017,151.72,152.15,147.8,148.43,148.43,"13,862,700"
7/5/2017,149,150.85,148.13,150.34,150.34,"14,334,300"
7/6/2017,149.03,150.04,148,148.82,148.82,"14,951,800"
7/7/2017,149.25,151.99,149.19,151.44,151.44,"13,615,900"
7/10/2017,151.69,153.98,151.51,153.5,153.5,"13,378,700"
7/11/2017,153.37,155.42,152.91,155.27,155.27,"13,667,700"
7/12/2017,156.49,159.16,156.2,158.9,158.9,"22,739,400"
7/13/2017,158.74,159.78,158.42,159.26,159.26,"13,929,200"
7/14/2017,160.13,160.32,159.33,159.97,159.97,"16,371,200"
7/17/2017,160.25,160.78,158.81,159.73,159.73,"12,858,800"
7/18/2017,159.66,163.73,159.42,162.86,162.86,"23,722,900"
7/19/2017,163.59,165.7,163.17,164.14,164.14,"26,273,600"
7/20/2017,164.8,165,162.81,164.53,164.53,"18,523,100"
7/21/2017,164.16,165.05,163.75,164.43,164.43,"14,744,000"
7/24/2017,164.64,166.17,164.31,166,166,"17,367,000"
7/25/2017,165.01,165.54,163.86,165.28,165.28,"15,383,200"
7/26/2017,166.01,166.01,164.1,165.61,165.61,"35,236,900"
7/27/2017,174.7,175.49,167.5,170.44,170.44,"68,910,700"
7/28/2017,169.07,173.43,169.05,172.45,172.45,"24,557,600"
7/31/2017,172,172.72,168.55,169.25,169.25,"25,478,900"
8/1/2017,169.82,170.47,169.05,169.86,169.86,"14,385,000"
8/2/2017,170.3,170.55,166.91,169.3,169.3,"17,433,800"
8/3/2017,169.3,169.7,168.25,168.59,168.59,"10,793,800"
8/4/2017,168.97,170.06,168.69,169.62,169.62,"10,777,700"
8/7/2017,169.95,172.06,169.66,171.98,171.98,"12,787,800"
8/8/2017,171.88,173.05,170.62,171.23,171.23,"14,393,500"
8/9/2017,169.98,171.45,169.56,171.18,171.18,"10,815,000"
8/10/2017,170.06,170.59,166.85,167.4,167.4,"20,832,700"
8/11/2017,167.95,168.82,166.85,168.08,168.08,"13,791,200"
8/14/2017,170.09,171.08,169.29,170.75,170.75,"12,954,200"
8/15/2017,171.49,171.5,170.01,171,171,"8,729,200"
8/16/2017,171.25,171.38,169.24,170,170,"15,779,900"
8/17/2017,169.34,169.86,166.85,166.91,166.91,"17,216,000"
8/18/2017,166.84,168.67,166.21,167.41,167.41,"15,093,600"
8/21/2017,167.16,168,165.82,167.78,167.78,"11,907,500"
8/22/2017,168.28,169.87,167.15,169.64,169.64,"11,391,000"
8/23/2017,168.84,169.36,168.2,168.71,168.71,"9,856,500"
8/24/2017,168.88,169.29,166.41,167.74,167.74,"14,030,400"
8/25/2017,167.86,168.38,166.18,166.32,166.32,"12,614,500"
8/28/2017,166.91,167.7,166.33,167.24,167.24,"8,553,700"
8/29/2017,165.25,168.43,165,168.05,168.05,"11,121,000"
8/30/2017,168.17,170.18,167.63,169.92,169.92,"11,138,300"
8/31/2017,170.4,172.15,170.06,171.97,171.97,"17,226,500"
9/1/2017,172.4,172.92,171.31,172.02,172.02,"11,677,600"
9/5/2017,171.27,172.39,169.55,170.72,170.72,"13,210,900"
9/6/2017,170.91,172.48,169.57,172.09,172.09,"13,906,300"
9/7/2017,171.94,173.31,170.27,173.21,173.21,"18,049,500"
9/8/2017,173.09,173.49,170.8,170.95,170.95,"10,998,500"
9/11/2017,172.4,173.89,172.2,173.51,173.51,"12,372,000"
9/12/2017,173.76,174,171.75,172.96,172.96,"11,186,300"
9/13/2017,173.01,173.17,172.06,173.05,173.05,"9,119,300"
9/14/2017,172.26,172.28,170.5,170.96,170.96,"15,615,700"
9/15/2017,170.88,172.34,170.26,171.64,171.64,"15,660,500"
9/18/2017,171.99,172.07,169.34,170.01,170.01,"12,954,000"
9/19/2017,170.62,172.56,170.36,172.52,172.52,"13,168,600"
9/20/2017,172.5,173.05,170.7,172.17,172.17,"12,264,100"
9/21/2017,171.69,172.27,170.01,171.11,171.11,"11,161,400"
9/22/2017,170.21,171.73,169.22,170.54,170.54,"12,097,100"
9/25/2017,169.24,169.3,161.56,162.87,162.87,"41,251,600"
9/26/2017,164.5,165.5,162.78,164.21,164.21,"23,363,300"
9/27/2017,165.9,168.34,165.57,167.68,167.68,"19,242,500"
9/28/2017,167.94,169.07,167.16,168.73,168.73,"12,178,700"
9/29/2017,168.83,171.66,168.81,170.87,170.87,"15,340,400"
10/2/2017,171.39,171.87,168.75,169.47,169.47,"13,392,300"
